sound,grating_freq,stimulus_start,correct_key,response,key_pressed,RTs,order,condition,task
220Hz.wav,0,0.9,l,1,l,0.7331005,8,0,0
1440Hz.wav,3,1.1,h,1,h,0.5068637,5,1,0
1440Hz.wav,0,0.9,h,1,h,0.5416228,12,0,0
220Hz.wav,0,1.5,l,1,l,0.506461,11,0,0
1440Hz.wav,0,1.1,h,1,h,0.5934349,13,0,0
220Hz.wav,3,1.1,l,1,l,0.4539637,1,1,0
220Hz.wav,3,1.3,l,1,l,0.4019845,2,1,0
220Hz.wav,0,1.3,l,1,l,0.4256277,10,0,0
220Hz.wav,3,1.5,l,1,l,0.506473,3,1,0
1440Hz.wav,0,1.3,h,1,h,0.4366927,14,0,0
220Hz.wav,3,0.9,l,1,l,0.5246693,0,1,0
1440Hz.wav,3,1.3,h,0,l,0.4194583,6,1,0
1440Hz.wav,3,0.9,h,0,l,0.4715116,4,1,0
220Hz.wav,0,1.1,l,1,l,0.7337868,9,0,0
1440Hz.wav,3,1.5,h,1,h,1.1698227,7,1,0
1440Hz.wav,0,1.5,h,1,h,0.4891682,15,0,0
220Hz.wav,3,0.9,l,1,l,0.4889518,0,1,0
220Hz.wav,0,1.3,l,1,l,0.4198418,10,0,0
1440Hz.wav,0,1.3,h,1,h,0.5237963,14,0,0
1440Hz.wav,0,1.5,h,1,h,0.6457377,15,0,0
220Hz.wav,0,1.1,l,1,l,0.5241153,9,0,0
1440Hz.wav,3,0.9,h,0,l,0.5415229,4,1,0
1440Hz.wav,0,0.9,h,1,h,0.7508983,12,0,0
1440Hz.wav,0,1.1,h,1,h,0.4367318,13,0,0
1440Hz.wav,3,1.1,h,1,h,0.4021094,5,1,0
1440Hz.wav,3,1.5,h,1,h,0.4015377,7,1,0
220Hz.wav,3,1.5,l,1,l,0.4890838,3,1,0
1440Hz.wav,3,1.3,h,1,h,0.4544716,6,1,0
220Hz.wav,3,1.1,l,1,l,0.6112948,1,1,0
220Hz.wav,0,0.9,l,1,l,0.6115478,8,0,0
220Hz.wav,3,1.3,l,1,l,0.4718361,2,1,0
220Hz.wav,0,1.5,l,0,h,0.4540603,11,0,0
1440Hz.wav,0,1.5,h,1,h,0.5589167,15,0,0
220Hz.wav,0,1.1,l,1,l,0.4719933,9,0,0
1440Hz.wav,3,1.1,h,1,h,0.4894834,5,1,0
220Hz.wav,3,0.9,l,1,l,0.5064693,0,1,0
1440Hz.wav,3,1.5,h,1,h,0.4894167,7,1,0
1440Hz.wav,3,0.9,h,1,h,0.4019405,4,1,0
220Hz.wav,0,1.3,l,1,l,0.489201,10,0,0
220Hz.wav,3,1.3,l,1,l,0.4021686,2,1,0
220Hz.wav,0,0.9,l,1,l,0.4720719,8,0,0
1440Hz.wav,0,1.3,h,0,l,0.5158435,14,0,0
220Hz.wav,3,1.1,l,1,l,0.7512109,1,1,0
220Hz.wav,0,1.5,l,1,l,0.5064654,11,0,0
1440Hz.wav,3,1.3,h,1,h,0.5412738,6,1,0
1440Hz.wav,0,0.9,h,1,h,0.4366746,12,0,0
220Hz.wav,3,1.5,l,1,l,0.4888344,3,1,0
1440Hz.wav,0,1.1,h,1,h,0.5065735,13,0,0
820Hz.wav,6,1.3,h,1,h,0.5761057,2,1,1
silence.wav,2,1.3,l,1,l,0.4790193,14,0,1
820Hz.wav,6,0.9,h,1,h,0.646264,0,1,1
820Hz.wav,2,1.3,l,1,l,0.5083387,6,1,1
silence.wav,6,1.1,h,1,h,0.5239527,9,0,1
silence.wav,2,1.1,l,1,l,0.4716267,13,0,1
silence.wav,6,1.3,h,1,h,0.4367693,10,0,1
820Hz.wav,2,0.9,l,1,l,0.6053698,4,1,1
silence.wav,6,0.9,h,1,h,0.5242651,8,0,1
820Hz.wav,6,1.5,h,1,h,0.4547568,3,1,1
820Hz.wav,6,1.1,h,1,h,0.3553652,1,1,1
silence.wav,6,1.5,h,1,h,0.3844246,11,0,1
820Hz.wav,2,1.5,l,1,l,0.3844896,7,1,1
820Hz.wav,2,1.1,l,0,h,0.3324302,5,1,1
silence.wav,2,0.9,l,1,l,0.4719537,12,0,1
silence.wav,2,1.5,l,1,l,0.3505854,15,0,1
820Hz.wav,2,1.1,l,1,l,0.3327032,5,1,1
silence.wav,2,0.9,l,1,l,0.3845045,12,0,1
820Hz.wav,2,1.5,l,0,h,0.2971848,7,1,1
silence.wav,6,1.5,h,1,h,0.4020171,11,0,1
silence.wav,2,1.1,l,1,l,0.5243433,13,0,1
silence.wav,6,0.9,h,1,h,0.6814354,8,0,1
820Hz.wav,6,1.5,h,1,h,0.4372094,3,1,1
820Hz.wav,2,1.3,l,1,l,0.5064792,6,1,1
820Hz.wav,6,1.3,h,1,h,0.4714187,2,1,1
820Hz.wav,6,1.1,h,1,h,0.4014237,1,1,1
820Hz.wav,2,0.9,l,1,l,0.4369883,4,1,1
silence.wav,6,1.1,h,1,h,0.4891968,9,0,1
silence.wav,2,1.3,l,1,l,0.5241545,14,0,1
silence.wav,6,1.3,h,1,h,0.4022745,10,0,1
silence.wav,2,1.5,l,1,l,0.4186675,15,0,1
820Hz.wav,6,0.9,h,1,h,0.4891654,0,1,1
820Hz.wav,6,1.5,h,1,h,0.3494613,3,1,1
silence.wav,2,1.3,l,1,l,0.5396938,14,0,1
silence.wav,6,1.3,h,1,h,0.3846171,10,0,1
820Hz.wav,2,0.9,l,1,l,0.4535418,4,1,1
820Hz.wav,2,1.5,l,1,l,0.3843338,7,1,1
silence.wav,6,1.1,h,1,h,0.4546988,9,0,1
