sound,grating_freq,stimulus_start,correct_key,response,key_pressed,RTs,order,condition,task
220Hz.wav,3,0.9,l,1,'l',0.2801826,28,1,0
220Hz.wav,3,1.1,l,1,'l',0.322753102,17,1,0
220Hz.wav,3,1.3,l,1,'l',0.218519494,7,1,0
220Hz.wav,3,1.5,l,1,'l',0.37450549,44,1,0
1440Hz.wav,3,0.9,h,1,'h',0.271969497,43,1,0
1440Hz.wav,3,1.1,h,1,'h',0.267597795,10,1,0
1440Hz.wav,3,1.3,h,1,'h',0.217708603,12,1,0
1440Hz.wav,3,1.5,h,1,'h',0.302714288,29,1,0
220Hz.wav,0,0.9,l,1,'l',0.340725899,20,0,0
220Hz.wav,0,1.1,l,1,'l',0.315585911,30,0,0
220Hz.wav,0,1.3,l,1,'l',0.286885709,14,0,0
220Hz.wav,0,1.5,l,1,'l',0.351211399,18,0,0
1440Hz.wav,0,0.9,h,1,'h',0.234260097,40,0,0
1440Hz.wav,0,1.1,h,1,'h',0.32326299,1,0,0
1440Hz.wav,0,1.3,h,1,'h',0.234521702,6,0,0
1440Hz.wav,0,1.5,h,1,'h',0.411089897,19,0,0
220Hz.wav,3,0.9,l,1,'l',0.305359602,47,1,0
220Hz.wav,3,1.1,l,1,'l',0.316499799,39,1,0
220Hz.wav,3,1.3,l,1,'l',0.271492898,3,1,0
220Hz.wav,3,1.5,l,1,'l',0.257504195,46,1,0
1440Hz.wav,3,0.9,h,1,'h',0.220043495,36,1,0
1440Hz.wav,3,1.1,h,1,'h',0.289810896,26,1,0
1440Hz.wav,3,1.3,h,1,'h',0.274894387,11,1,0
1440Hz.wav,3,1.5,h,1,'h',0.228875905,23,1,0
220Hz.wav,0,0.9,l,1,'l',0.347108692,13,0,0
220Hz.wav,0,1.1,l,1,'l',0.298605114,31,0,0
220Hz.wav,0,1.3,l,1,'l',0.261284888,15,0,0
220Hz.wav,0,1.5,l,1,'l',0.2873016,22,0,0
1440Hz.wav,0,0.9,h,1,'h',0.220837206,37,0,0
1440Hz.wav,0,1.1,h,1,'h',0.326220006,4,0,0
1440Hz.wav,0,1.3,h,1,'h',0.309973598,24,0,0
1440Hz.wav,0,1.5,h,0,'l',0.216132805,32,0,0
220Hz.wav,3,0.9,l,1,'l',0.256304294,27,1,0
220Hz.wav,3,1.1,l,1,'l',0.269813508,38,1,0
220Hz.wav,3,1.3,l,1,'l',0.210883602,41,1,0
220Hz.wav,3,1.5,l,1,'l',0.331740499,8,1,0
1440Hz.wav,3,0.9,h,1,'h',0.282426804,5,1,0
1440Hz.wav,3,1.1,h,1,'h',0.255817801,2,1,0
1440Hz.wav,3,1.3,h,1,'h',0.217756197,9,1,0
1440Hz.wav,3,1.5,h,1,'h',0.384386301,0,1,0
220Hz.wav,0,0.9,l,1,'l',0.275369495,25,0,0
220Hz.wav,0,1.1,l,1,'l',5.617749691,33,0,0
220Hz.wav,0,1.3,l,1,'l',0.280710906,21,0,0
220Hz.wav,0,1.5,l,1,'l',0.484295309,16,0,0
1440Hz.wav,0,0.9,h,1,'h',0.334876686,35,0,0
1440Hz.wav,0,1.1,h,1,'h',0.454523802,34,0,0
1440Hz.wav,0,1.3,h,1,'h',0.364740402,42,0,0
1440Hz.wav,0,1.5,h,1,'h',0.249571398,45,0,0
820Hz.wav,6,0.9,h,1,'h',0.474893391,44,1,1
820Hz.wav,6,1.1,h,1,'h',0.290072799,10,1,1
820Hz.wav,6,1.3,h,1,'h',0.4300583,31,1,1
820Hz.wav,6,1.5,h,1,'h',0.415901095,26,1,1
820Hz.wav,2,0.9,l,1,'l',0.478164613,1,1,1
820Hz.wav,2,1.1,l,1,'l',0.321983695,29,1,1
820Hz.wav,2,1.3,l,1,'l',0.312821507,5,1,1
820Hz.wav,2,1.5,l,1,'l',0.510832012,15,1,1
silence.wav,6,0.9,h,1,'h',0.333287299,9,0,1
silence.wav,6,1.1,h,1,'h',0.417657614,27,0,1
silence.wav,6,1.3,h,1,'h',0.396349788,41,0,1
silence.wav,6,1.5,h,1,'h',0.383082211,7,0,1
silence.wav,2,0.9,l,1,'l',0.345523298,13,0,1
silence.wav,2,1.1,l,1,'l',0.467110693,28,0,1
silence.wav,2,1.3,l,0,'h',0.33641091,11,0,1
silence.wav,2,1.5,l,0,'h',0.355630487,39,0,1
820Hz.wav,6,0.9,h,1,'h',0.413724214,14,1,1
820Hz.wav,6,1.1,h,1,'h',0.361969709,8,1,1
820Hz.wav,6,1.3,h,0,'l',0.265638411,35,1,1
820Hz.wav,6,1.5,h,1,'h',0.432807088,34,1,1
820Hz.wav,2,0.9,l,1,'l',0.503091872,40,1,1
820Hz.wav,2,1.1,l,1,'l',0.340333104,16,1,1
820Hz.wav,2,1.3,l,1,'l',0.332217693,3,1,1
820Hz.wav,2,1.5,l,1,'l',0.398732901,21,1,1
silence.wav,6,0.9,h,1,'h',0.430484712,19,0,1
silence.wav,6,1.1,h,1,'h',0.317982197,38,0,1
silence.wav,6,1.3,h,1,'h',0.329622,37,0,1
silence.wav,6,1.5,h,1,'h',0.448271185,4,0,1
silence.wav,2,0.9,l,1,'l',0.486644,42,0,1
silence.wav,2,1.1,l,1,'l',0.492934793,43,0,1
silence.wav,2,1.3,l,1,'l',0.479888499,30,0,1
silence.wav,2,1.5,l,1,'l',0.452646703,2,0,1
820Hz.wav,6,0.9,h,0,'l',0.355260402,24,1,1
820Hz.wav,6,1.1,h,1,'h',0.363536388,46,1,1
820Hz.wav,6,1.3,h,1,'h',0.432509691,36,1,1
820Hz.wav,6,1.5,h,1,'h',0.374489903,32,1,1
820Hz.wav,2,0.9,l,1,'l',0.431718707,47,1,1
820Hz.wav,2,1.1,l,1,'l',0.449251413,33,1,1
820Hz.wav,2,1.3,l,1,'l',0.508086324,12,1,1
820Hz.wav,2,1.5,l,1,'l',0.334556997,23,1,1
silence.wav,6,0.9,h,1,'h',0.496016294,0,0,1
silence.wav,6,1.1,h,1,'h',0.385840386,45,0,1
silence.wav,6,1.3,h,1,'h',0.414220601,6,0,1
silence.wav,6,1.5,h,1,'h',0.338404894,18,0,1
silence.wav,2,0.9,l,1,'l',0.392614007,17,0,1
silence.wav,2,1.1,l,1,'l',0.590910017,25,0,1
silence.wav,2,1.3,l,1,'l',0.439056993,20,0,1
silence.wav,2,1.5,l,1,'l',0.496540904,22,0,1
820Hz.wav,6,0.9,h,1,'h',0.299120098,29,1,1
820Hz.wav,6,1.1,h,1,'h',0.358013988,7,1,1
820Hz.wav,6,1.3,h,1,'h',0.355206013,25,1,1
820Hz.wav,6,1.5,h,1,'h',0.44876191,23,1,1
820Hz.wav,2,0.9,l,1,'l',0.339739293,22,1,1
820Hz.wav,2,1.1,l,1,'l',0.558180571,3,1,1
820Hz.wav,2,1.3,l,1,'l',0.305878192,44,1,1
820Hz.wav,2,1.5,l,1,'l',0.638483882,2,1,1
silence.wav,6,0.9,h,1,'h',0.401876003,18,0,1
silence.wav,6,1.1,h,1,'h',0.384548992,24,0,1
silence.wav,6,1.3,h,1,'h',5.651136398,1,0,1
silence.wav,6,1.5,h,1,'h',0.47302261,38,0,1
silence.wav,2,0.9,l,1,'l',0.44810161,39,0,1
silence.wav,2,1.1,l,1,'l',0.366356403,43,0,1
silence.wav,2,1.3,l,1,'l',0.44630459,9,0,1
silence.wav,2,1.5,l,1,'l',0.555109978,34,0,1
820Hz.wav,6,0.9,h,0,'l',1.435488939,0,1,1
820Hz.wav,6,1.1,h,1,'h',0.380278587,41,1,1
820Hz.wav,6,1.3,h,0,'l',0.3933658,28,1,1
820Hz.wav,6,1.5,h,1,'h',0.403907508,12,1,1
820Hz.wav,2,0.9,l,1,'l',0.438877612,42,1,1
820Hz.wav,2,1.1,l,1,'l',0.295406699,45,1,1
820Hz.wav,2,1.3,l,0,'h',0.2987881,14,1,1
820Hz.wav,2,1.5,l,1,'l',0.359315813,40,1,1
silence.wav,6,0.9,h,1,'h',0.345138997,8,0,1
silence.wav,6,1.1,h,1,'h',0.391294509,10,0,1
silence.wav,6,1.3,h,1,'h',0.537844181,5,0,1
silence.wav,6,1.5,h,1,'h',0.57309413,32,0,1
silence.wav,2,0.9,l,1,'l',0.438447714,6,0,1
silence.wav,2,1.1,l,1,'l',0.301137805,46,0,1
silence.wav,2,1.3,l,0,'h',0.412273914,31,0,1
silence.wav,2,1.5,l,0,'h',0.382477403,37,0,1
820Hz.wav,6,0.9,h,1,'h',0.450047314,4,1,1
820Hz.wav,6,1.1,h,1,'h',0.369780213,30,1,1
820Hz.wav,6,1.3,h,1,'h',0.428062588,19,1,1
820Hz.wav,6,1.5,h,1,'h',0.382296711,27,1,1
820Hz.wav,2,0.9,l,1,'l',0.567772985,33,1,1
820Hz.wav,2,1.1,l,1,'l',0.283661515,47,1,1
820Hz.wav,2,1.3,l,1,'l',0.44675079,36,1,1
820Hz.wav,2,1.5,l,1,'l',0.460252911,20,1,1
silence.wav,6,0.9,h,1,'h',0.430152386,35,0,1
silence.wav,6,1.1,h,1,'h',0.309269011,13,0,1
