sound,grating_freq,stimulus_start,correct_key,response,key_pressed,RTs,order,condition,task
220Hz.wav,3,0.9,l,1,'l',0.539411783,20,1,0
220Hz.wav,3,1.1,l,1,'l',0.334506214,35,1,0
220Hz.wav,3,1.3,l,1,'l',0.931004882,0,1,0
220Hz.wav,3,1.5,l,1,'l',0.297447592,42,1,0
1440Hz.wav,3,0.9,h,1,'h',0.376056701,4,1,0
1440Hz.wav,3,1.1,h,1,'h',0.928113699,2,1,0
1440Hz.wav,3,1.3,h,1,'h',0.339019001,41,1,0
1440Hz.wav,3,1.5,h,1,'h',0.419765711,32,1,0
220Hz.wav,0,0.9,l,1,'l',0.680165529,1,0,0
220Hz.wav,0,1.1,l,1,'l',0.5131073,37,0,0
220Hz.wav,0,1.3,l,0,'h',50.57917404,23,0,0
220Hz.wav,0,1.5,l,1,'l',0.700673401,12,0,0
1440Hz.wav,0,0.9,h,1,'h',0.353468597,7,0,0
1440Hz.wav,0,1.1,h,1,'h',0.35374251,17,0,0
1440Hz.wav,0,1.3,h,1,'h',0.625508606,29,0,0
1440Hz.wav,0,1.5,h,1,'h',0.486766011,15,0,0
220Hz.wav,3,0.9,l,0,'h',15.52009392,24,1,0
220Hz.wav,3,1.1,l,1,'l',0.433920294,31,1,0
220Hz.wav,3,1.3,l,1,'l',0.340084612,13,1,0
220Hz.wav,3,1.5,l,1,'l',0.530514896,28,1,0
1440Hz.wav,3,0.9,h,1,'h',0.481862694,6,1,0
1440Hz.wav,3,1.1,h,1,'h',0.382417202,33,1,0
1440Hz.wav,3,1.3,h,1,'h',0.4915573,30,1,0
1440Hz.wav,3,1.5,h,1,'h',0.483391613,22,1,0
220Hz.wav,0,0.9,l,1,'l',0.533370495,18,0,0
220Hz.wav,0,1.1,l,1,'l',0.382816494,43,0,0
220Hz.wav,0,1.3,l,1,'l',0.653305888,26,0,0
220Hz.wav,0,1.5,l,1,'l',0.387708306,44,0,0
1440Hz.wav,0,0.9,h,1,'h',0.33671549,9,0,0
