sound,grating_freq,stimulus_start,correct_key,response,key_pressed,RTs,order,condition,task
220Hz.wav,3,0.9,l,1,'l',0.473815799,34,1,0
220Hz.wav,3,1.1,l,1,'l',0.426075995,4,1,0
220Hz.wav,3,1.3,l,1,'l',0.303646088,26,1,0
220Hz.wav,3,1.5,l,1,'l',0.284015894,38,1,0
1440Hz.wav,3,0.9,h,1,'h',0.275871009,46,1,0
1440Hz.wav,3,1.1,h,1,'h',0.527530909,17,1,0
1440Hz.wav,3,1.3,h,1,'h',0.341926396,37,1,0
1440Hz.wav,3,1.5,h,1,'h',0.339248002,6,1,0
220Hz.wav,0,0.9,l,1,'l',0.695496202,5,0,0
220Hz.wav,0,1.1,l,1,'l',0.560435772,9,0,0
220Hz.wav,0,1.3,l,1,'l',0.340561509,13,0,0
220Hz.wav,0,1.5,l,1,'l',0.332278192,29,0,0
1440Hz.wav,0,0.9,h,1,'h',0.473198205,16,0,0
1440Hz.wav,0,1.1,h,1,'h',0.713179827,30,0,0
1440Hz.wav,0,1.3,h,1,'h',0.408320397,8,0,0
1440Hz.wav,0,1.5,h,1,'h',0.390718192,23,0,0
220Hz.wav,3,0.9,l,1,'l',0.363487691,31,1,0
220Hz.wav,3,1.1,l,1,'l',0.408927888,7,1,0
220Hz.wav,3,1.3,l,1,'l',0.432139009,2,1,0
220Hz.wav,3,1.5,l,1,'l',0.511483371,41,1,0
1440Hz.wav,3,0.9,h,1,'h',0.575345397,14,1,0
1440Hz.wav,3,1.1,h,1,'h',0.331043988,0,1,0
1440Hz.wav,3,1.3,h,1,'h',0.338494688,27,1,0
1440Hz.wav,3,1.5,h,1,'h',0.280825496,39,1,0
220Hz.wav,0,0.9,l,1,'l',0.581758678,20,0,0
220Hz.wav,0,1.1,l,1,'l',0.306141108,33,0,0
220Hz.wav,0,1.3,l,1,'l',0.346530706,42,0,0
220Hz.wav,0,1.5,l,1,'l',0.436534494,45,0,0
1440Hz.wav,0,0.9,h,1,'h',0.559941173,25,0,0
1440Hz.wav,0,1.1,h,1,'h',0.382099897,36,0,0
1440Hz.wav,0,1.3,h,1,'h',0.348163992,43,0,0
1440Hz.wav,0,1.5,h,1,'h',0.427363813,18,0,0
220Hz.wav,3,0.9,l,0,'h',0.540077329,11,1,0
220Hz.wav,3,1.1,l,1,'l',0.39419201,1,1,0
220Hz.wav,3,1.3,l,1,'l',0.438797086,19,1,0
220Hz.wav,3,1.5,l,1,'l',0.409183204,3,1,0
1440Hz.wav,3,0.9,h,1,'h',0.426402599,35,1,0
1440Hz.wav,3,1.1,h,1,'h',1.417051554,10,1,0
1440Hz.wav,3,1.3,h,1,'h',0.557638109,12,1,0
1440Hz.wav,3,1.5,h,1,'h',0.383540303,21,1,0
220Hz.wav,0,0.9,l,1,'l',0.306353003,40,0,0
220Hz.wav,0,1.1,l,1,'l',0.457683593,15,0,0
220Hz.wav,0,1.3,l,1,'l',0.230135694,24,0,0
