sound,grating_freq,stimulus_start,correct_key,response,key_pressed,RTs,order,condition,task
220Hz.wav,3,0.9,l,1,'l',0.369286507,13,1,0
220Hz.wav,3,1.1,l,1,'l',0.368348211,18,1,0
220Hz.wav,3,1.3,l,1,'l',0.333466411,20,1,0
220Hz.wav,3,1.5,l,1,'l',0.3647829,12,1,0
1440Hz.wav,3,0.9,h,1,'h',0.377505988,28,1,0
1440Hz.wav,3,1.1,h,1,'h',0.473313093,3,1,0
1440Hz.wav,3,1.3,h,1,'h',0.314097911,41,1,0
1440Hz.wav,3,1.5,h,1,'h',0.713703513,8,1,0
220Hz.wav,0,0.9,l,1,'l',0.350440592,14,0,0
220Hz.wav,0,1.1,l,1,'l',0.39656359,34,0,0
220Hz.wav,0,1.3,l,1,'l',0.343330085,38,0,0
220Hz.wav,0,1.5,l,1,'l',0.415516406,45,0,0
1440Hz.wav,0,0.9,h,1,'h',0.304226995,31,0,0
1440Hz.wav,0,1.1,h,1,'h',0.425308406,4,0,0
1440Hz.wav,0,1.3,h,1,'h',0.372578502,2,0,0
1440Hz.wav,0,1.5,h,1,'h',0.317234308,39,0,0
220Hz.wav,3,0.9,l,1,'l',0.347811908,21,1,0
220Hz.wav,3,1.1,l,1,'l',0.304914087,9,1,0
220Hz.wav,3,1.3,l,1,'l',0.353295207,22,1,0
220Hz.wav,3,1.5,l,1,'l',0.455079287,17,1,0
1440Hz.wav,3,0.9,h,1,'h',0.338720202,30,1,0
1440Hz.wav,3,1.1,h,1,'h',0.384150505,25,1,0
1440Hz.wav,3,1.3,h,1,'h',0.342425287,11,1,0
1440Hz.wav,3,1.5,h,1,'h',0.254300386,23,1,0
220Hz.wav,0,0.9,l,1,'l',0.343687594,32,0,0
220Hz.wav,0,1.1,l,1,'l',0.344062686,35,0,0
220Hz.wav,0,1.3,l,1,'l',0.303973705,16,0,0
220Hz.wav,0,1.5,l,1,'l',0.287599713,24,0,0
1440Hz.wav,0,0.9,h,1,'h',0.483446985,6,0,0
1440Hz.wav,0,1.1,h,1,'h',0.354342103,37,0,0
1440Hz.wav,0,1.3,h,1,'h',0.399424404,29,0,0
1440Hz.wav,0,1.5,h,1,'h',0.748258829,7,0,0
220Hz.wav,3,0.9,l,1,'l',0.608159423,47,1,0
220Hz.wav,3,1.1,l,1,'l',0.309372097,19,1,0
220Hz.wav,3,1.3,l,1,'l',0.390285105,43,1,0
220Hz.wav,3,1.5,l,1,'l',0.550625324,1,1,0
1440Hz.wav,3,0.9,h,1,'h',0.37327829,40,1,0
1440Hz.wav,3,1.1,h,1,'h',0.346324503,46,1,0
1440Hz.wav,3,1.3,h,1,'h',0.657037914,27,1,0
1440Hz.wav,3,1.5,h,1,'h',0.3198919,10,1,0
220Hz.wav,0,0.9,l,1,'l',0.37283501,26,0,0
220Hz.wav,0,1.1,l,1,'l',0.325373888,33,0,0
220Hz.wav,0,1.3,l,1,'l',0.316769093,5,0,0
220Hz.wav,0,1.5,l,1,'l',0.353229493,44,0,0
1440Hz.wav,0,0.9,h,1,'h',0.373906314,36,0,0
