sound,grating_freq,stimulus_start,correct_key,response,key_pressed,RTs,order,condition,task
820Hz.wav,2,1.1,l,1,l,0.6701951,5,1,1
820Hz.wav,6,1.1,h,1,h,0.5066683,1,1,1
820Hz.wav,6,1.3,h,1,h,0.4378396,2,1,1
820Hz.wav,2,1.3,l,1,l,0.4011287,6,1,1
820Hz.wav,2,1.5,l,1,l,0.7362982,7,1,1
820Hz.wav,6,1.5,h,1,h,0.4217271,3,1,1
820Hz.wav,2,0.9,l,1,l,0.4209111,4,1,1
silence.wav,2,1.1,l,1,l,0.3333108,13,0,1
820Hz.wav,6,0.9,h,1,h,0.3151099,0,1,1
silence.wav,6,1.5,h,1,h,0.3349848,11,0,1
silence.wav,2,1.5,l,1,l,0.3320482,15,0,1
silence.wav,2,1.3,l,1,l,0.3504166,14,0,1
silence.wav,6,0.9,h,1,h,0.5248821,8,0,1
silence.wav,6,1.1,h,1,h,0.4041375,9,0,1
silence.wav,2,0.9,l,1,l,0.4197249,12,0,1
silence.wav,6,1.3,h,1,h,0.5074539,10,0,1
820Hz.wav,2,1.1,l,1,l,0.4033515,5,1,1
820Hz.wav,6,0.9,h,1,h,0.4367189,0,1,1
silence.wav,2,0.9,l,0,h,0.4027533,12,0,1
820Hz.wav,6,1.3,h,1,h,0.4207794,2,1,1
silence.wav,2,1.3,l,1,l,0.6104712,14,0,1
silence.wav,6,1.5,h,1,h,0.4028881,11,0,1
820Hz.wav,2,1.5,l,1,l,0.4748871,7,1,1
silence.wav,6,1.3,h,1,h,0.4718158,10,0,1
820Hz.wav,2,1.3,l,1,l,0.3334243,6,1,1
silence.wav,2,1.5,l,1,l,0.5254762,15,0,1
silence.wav,2,1.1,l,1,l,0.4391371,13,0,1
820Hz.wav,2,0.9,l,1,l,0.4197748,4,1,1
820Hz.wav,6,1.1,h,1,h,0.3855042,1,1,1
silence.wav,6,1.1,h,1,h,0.4551693,9,0,1
820Hz.wav,6,1.5,h,1,h,0.3326854,3,1,1
silence.wav,6,0.9,h,1,h,0.4370884,8,0,1
silence.wav,2,0.9,l,1,l,0.4038186,12,0,1
820Hz.wav,6,1.3,h,1,h,0.4021886,2,1,1
silence.wav,2,1.3,l,1,l,0.4377274,14,0,1
820Hz.wav,2,0.9,l,1,l,0.5781649,4,1,1
820Hz.wav,6,1.1,h,1,h,0.3513777,1,1,1
820Hz.wav,6,1.5,h,1,h,0.4202826,3,1,1
820Hz.wav,2,1.3,l,1,l,0.4381007,6,1,1
silence.wav,2,1.1,l,0,h,0.3857156,13,0,1
silence.wav,6,1.3,h,1,h,0.5424279,10,0,1
silence.wav,6,1.1,h,0,l,0.4189898,9,0,1
silence.wav,6,0.9,h,1,h,0.7163416,8,0,1
silence.wav,2,1.5,l,1,l,0.4728302,15,0,1
820Hz.wav,2,1.5,l,1,l,0.4028198,7,1,1
820Hz.wav,2,1.1,l,1,l,0.4546749,5,1,1
820Hz.wav,6,0.9,h,1,h,0.664914,0,1,1
silence.wav,6,1.5,h,1,h,0.4366287,11,0,1
1440Hz.wav,3,1.1,h,1,h,1.2224783,5,1,0
1440Hz.wav,0,1.5,h,1,h,0.6471601,15,0,0
1440Hz.wav,0,0.9,h,1,h,0.5257343,12,0,0
1440Hz.wav,3,0.9,h,1,h,0.6469114,4,1,0
220Hz.wav,3,0.9,l,1,l,0.4905121,0,1,0
220Hz.wav,0,1.1,l,1,l,0.506475,9,0,0
220Hz.wav,0,1.5,l,1,l,0.5243652,11,0,0
220Hz.wav,0,1.3,l,1,l,0.5253205,10,0,0
220Hz.wav,3,1.1,l,1,l,0.4033046,1,1,0
220Hz.wav,0,0.9,l,1,l,0.4716241,8,0,0
1440Hz.wav,3,1.5,h,1,h,0.4905578,7,1,0
1440Hz.wav,3,1.3,h,1,h,0.77011,6,1,0
1440Hz.wav,0,1.3,h,1,h,0.4903054,14,0,0
220Hz.wav,3,1.3,l,1,l,0.4193239,2,1,0
1440Hz.wav,0,1.1,h,1,h,0.6464153,13,0,0
220Hz.wav,3,1.5,l,1,l,0.3855931,3,1,0
220Hz.wav,0,1.5,l,1,l,0.420642,11,0,0
1440Hz.wav,0,1.3,h,1,h,0.474298,14,0,0
1440Hz.wav,0,1.1,h,1,h,0.506076,13,0,0
220Hz.wav,3,0.9,l,1,l,0.4382119,0,1,0
220Hz.wav,0,1.1,l,1,l,0.4014717,9,0,0
220Hz.wav,3,1.3,l,1,l,0.4200966,2,1,0
1440Hz.wav,3,1.1,h,0,l,0.4552186,5,1,0
1440Hz.wav,3,0.9,h,0,l,0.6123097,4,1,0
220Hz.wav,3,1.5,l,1,l,1.2045401,3,1,0
220Hz.wav,3,1.1,l,1,l,0.6658117,1,1,0
1440Hz.wav,0,0.9,h,1,h,0.5973454,12,0,0
220Hz.wav,0,1.3,l,1,l,0.7341059,10,0,0
220Hz.wav,0,0.9,l,1,l,0.5220656,8,0,0
1440Hz.wav,3,1.5,h,1,h,0.5608147,7,1,0
1440Hz.wav,3,1.3,h,1,h,0.8914637,6,1,0
1440Hz.wav,0,1.5,h,1,h,0.6101115,15,0,0
