sound,grating_freq,stimulus_start,correct_key,response,key_pressed,RTs,order,condition,task
220Hz.wav,3,0.9,l,1,'l',0.329404086,37,1,0
220Hz.wav,3,1.1,l,1,'l',0.284959912,39,1,0
220Hz.wav,3,1.3,l,1,'l',0.419893503,32,1,0
220Hz.wav,3,1.5,l,1,'l',0.487372696,11,1,0
1440Hz.wav,3,0.9,h,1,'h',0.308950007,23,1,0
1440Hz.wav,3,1.1,h,1,'h',0.376884907,21,1,0
1440Hz.wav,3,1.3,h,1,'h',0.301789314,47,1,0
1440Hz.wav,3,1.5,h,1,'h',0.402985185,0,1,0
220Hz.wav,0,0.9,l,1,'l',0.514886796,6,0,0
220Hz.wav,0,1.1,l,1,'l',0.260778904,41,0,0
220Hz.wav,0,1.3,l,1,'l',0.281585306,42,0,0
220Hz.wav,0,1.5,l,1,'l',0.302190393,20,0,0
1440Hz.wav,0,0.9,h,1,'h',0.703433692,31,0,0
1440Hz.wav,0,1.1,h,1,'h',0.28118059,46,0,0
1440Hz.wav,0,1.3,h,1,'h',0.273661107,22,0,0
1440Hz.wav,0,1.5,h,0,'l',0.287713706,34,0,0
220Hz.wav,3,0.9,l,1,'l',0.367283195,28,1,0
220Hz.wav,3,1.1,l,0,'h',0.427558094,9,1,0
220Hz.wav,3,1.3,l,1,'l',0.56917721,36,1,0
220Hz.wav,3,1.5,l,1,'l',0.356448591,19,1,0
1440Hz.wav,3,0.9,h,1,'h',0.375873089,14,1,0
1440Hz.wav,3,1.1,h,1,'h',0.730915427,10,1,0
1440Hz.wav,3,1.3,h,1,'h',0.487619609,5,1,0
1440Hz.wav,3,1.5,h,1,'h',0.207400799,26,1,0
220Hz.wav,0,0.9,l,1,'l',0.381258398,3,0,0
220Hz.wav,0,1.1,l,1,'l',0.277658612,45,0,0
220Hz.wav,0,1.3,l,1,'l',0.425585687,30,0,0
220Hz.wav,0,1.5,l,1,'l',0.288153589,18,0,0
1440Hz.wav,0,0.9,h,1,'h',0.282228112,25,0,0
1440Hz.wav,0,1.1,h,1,'h',0.513882995,1,0,0
1440Hz.wav,0,1.3,h,1,'h',0.275340408,17,0,0
1440Hz.wav,0,1.5,h,1,'h',0.370658487,16,0,0
220Hz.wav,3,0.9,l,1,'l',0.281498313,44,1,0
220Hz.wav,3,1.1,l,1,'l',0.256358206,40,1,0
220Hz.wav,3,1.3,l,1,'l',0.274904013,33,1,0
220Hz.wav,3,1.5,l,1,'l',0.608414114,4,1,0
1440Hz.wav,3,0.9,h,1,'h',0.438258111,8,1,0
1440Hz.wav,3,1.1,h,1,'h',0.435062408,35,1,0
1440Hz.wav,3,1.3,h,1,'h',0.304461807,24,1,0
1440Hz.wav,3,1.5,h,1,'h',0.368943095,29,1,0
220Hz.wav,0,0.9,l,1,'l',0.322864592,38,0,0
220Hz.wav,0,1.1,l,1,'l',0.253847301,43,0,0
220Hz.wav,0,1.3,l,1,'l',0.342474401,27,0,0
220Hz.wav,0,1.5,l,1,'l',0.391400397,7,0,0
1440Hz.wav,0,0.9,h,1,'h',0.906370401,12,0,0
1440Hz.wav,0,1.1,h,1,'h',0.551160872,13,0,0
1440Hz.wav,0,1.3,h,1,'h',0.360428095,15,0,0
1440Hz.wav,0,1.5,h,1,'h',0.374151498,2,0,0
820Hz.wav,6,0.9,h,1,'h',0.342647702,20,1,1
820Hz.wav,6,1.1,h,1,'h',0.36925301,18,1,1
820Hz.wav,6,1.3,h,1,'h',0.410969496,40,1,1
820Hz.wav,6,1.5,h,0,'l',0.282379001,19,1,1
820Hz.wav,2,0.9,l,1,'l',0.241815001,28,1,1
820Hz.wav,2,1.1,l,0,'h',0.394132197,41,1,1
820Hz.wav,2,1.3,l,1,'l',0.532790303,26,1,1
820Hz.wav,2,1.5,l,1,'l',0.270689309,47,1,1
silence.wav,6,0.9,h,1,'h',0.507760525,2,0,1
silence.wav,6,1.1,h,1,'h',0.681329906,42,0,1
silence.wav,6,1.3,h,1,'h',0.535548508,30,0,1
silence.wav,6,1.5,h,1,'h',0.330992997,37,0,1
silence.wav,2,0.9,l,1,'l',0.334600806,3,0,1
silence.wav,2,1.1,l,1,'l',0.378895909,35,0,1
silence.wav,2,1.3,l,0,'h',0.469276398,17,0,1
silence.wav,2,1.5,l,1,'l',0.463820606,43,0,1
820Hz.wav,6,0.9,h,1,'h',0.426553398,8,1,1
820Hz.wav,6,1.1,h,1,'h',0.403781503,39,1,1
820Hz.wav,6,1.3,h,1,'h',0.3650949,24,1,1
820Hz.wav,6,1.5,h,1,'h',0.414194107,46,1,1
820Hz.wav,2,0.9,l,1,'l',0.495296896,27,1,1
820Hz.wav,2,1.1,l,0,'h',0.294916004,10,1,1
820Hz.wav,2,1.3,l,0,'h',0.36382699,1,1,1
820Hz.wav,2,1.5,l,1,'l',0.530994415,45,1,1
silence.wav,6,0.9,h,1,'h',0.373176187,15,0,1
silence.wav,6,1.1,h,1,'h',0.460717291,44,0,1
silence.wav,6,1.3,h,1,'h',0.459125698,12,0,1
silence.wav,6,1.5,h,1,'h',0.535443008,32,0,1
silence.wav,2,0.9,l,1,'l',0.394453406,36,0,1
silence.wav,2,1.1,l,1,'l',0.404018193,7,0,1
silence.wav,2,1.3,l,1,'l',1.043205142,11,0,1
silence.wav,2,1.5,l,1,'l',0.37888509,33,0,1
820Hz.wav,6,0.9,h,1,'h',0.408102304,9,1,1
820Hz.wav,6,1.1,h,1,'h',0.424019188,13,1,1
820Hz.wav,6,1.3,h,1,'h',0.387594789,34,1,1
820Hz.wav,6,1.5,h,1,'h',0.4457331,0,1,1
820Hz.wav,2,0.9,l,1,'l',0.388788611,16,1,1
820Hz.wav,2,1.1,l,1,'l',0.457363695,31,1,1
820Hz.wav,2,1.3,l,1,'l',0.413340211,6,1,1
820Hz.wav,2,1.5,l,1,'l',0.462500304,38,1,1
silence.wav,6,0.9,h,1,'h',0.560117781,4,0,1
silence.wav,6,1.1,h,0,'l',0.297580689,5,0,1
silence.wav,6,1.3,h,1,'h',0.43250531,29,0,1
silence.wav,6,1.5,h,1,'h',0.423349202,14,0,1
silence.wav,2,0.9,l,0,'h',5.983168602,21,0,1
silence.wav,2,1.1,l,1,'l',0.431101292,25,0,1
silence.wav,2,1.3,l,1,'l',0.59679848,23,0,1
silence.wav,2,1.5,l,1,'l',0.479752809,22,0,1
220Hz.wav,3,0.9,l,1,'l',0.289218992,28,1,0
220Hz.wav,3,1.1,l,1,'l',0.343930215,17,1,0
220Hz.wav,3,1.3,l,1,'l',0.321043104,13,1,0
